position,suffix,player_slug,first_name,middle_name,last_name,draft_year,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions,body_fat_pct,hand_length,hand_width,height_w_shoes,height_wo_shoes,standing_reach,weight_lbs,wingspan,hand_length_inches,hand_width_inches,height_w_shoes_inches,height_wo_shoes_inches,standing_reach_inches,wingspan_inches,player_name
pf,,ryan__dunn__2024,ryan,,dunn,2024.0,10.99,2.88,3.12,32.0,38.5,,,9.00,9.75,,6' 6.25'',8' 7.00'',213.6,7' 1.50'',9.0,9.75,,78.25,103.0,85.5,ryan dunn
c,,zach__edey__2024,zach,,edey,2024.0,11.19,3.01,3.42,26.0,31.5,,,10.00,10.75,,7' 3.75'',9' 7.00'',299.0,7' 10.75'',10.0,10.75,,87.75,115.0,94.75,zach edey
sf,,justin__edwards__2024,justin,,edwards,2024.0,12.07,3.22,3.18,28.0,32.5,,,8.75,8.75,,6' 6.00'',8' 6.50'',209.4,6' 10.00'',8.75,8.75,,78.0,102.5,82.0,justin edwards
c,,jesse__edwards__2024,jesse,,edwards,2024.0,11.24,3.23,3.33,30.5,35.5,,,9.25,10.00,,6' 11.50'',9' 3.00'',236.0,7' 5.00'',9.25,10.0,,83.5,111.0,89.0,jesse edwards
pg-sg,,boogie__ellis__2024,boogie,,ellis,2024.0,11.98,3.33,3.19,31.5,39.5,,,9.00,9.50,,6' 0.75'',8' 2.00'',185.0,6' 7.00'',9.0,9.5,,72.75,98.0,79.0,boogie ellis
pf,,kyle__filipowski__2024,kyle,,filipowski,2024.0,11.43,2.93,3.19,27.0,32.5,,,8.75,9.50,,6' 10.75'',8' 11.00'',229.8,6' 10.50'',8.75,9.5,,82.75,107.0,82.5,kyle filipowski
sf,,trentyn__flowers__2024,trentyn,,flowers,2024.0,11.01,3.0,3.13,34.5,42.0,,,8.75,9.50,,6' 6.50'',8' 4.50'',201.4,6' 8.25'',8.75,9.5,,78.5,100.5,80.25,trentyn flowers
pf,,enrique__freeman__2024,enrique,,freeman,2024.0,10.99,3.04,3.26,30.5,35.0,,,8.75,10.00,,6' 7.25'',9' 0.00'',212.0,7' 2.00'',8.75,10.0,,79.25,108.0,86.0,enrique freeman
sf,,johnny__furphy__2024,johnny,,furphy,2024.0,11.15,3.17,3.2,25.5,32.0,,,8.00,9.50,,6' 7.50'',8' 8.50'',188.8,6' 8.00'',8.0,9.5,,79.5,104.5,80.0,johnny furphy
sf,,kyshawn__george__2024,kyshawn,,george,2024.0,11.9,2.91,3.32,27.0,32.0,,,9.00,10.25,,6' 7.00'',8' 9.00'',208.8,6' 10.25'',9.0,10.25,,79.0,105.0,82.25,kyshawn george
sf,,tyon__grant-foster__2024,tyon,,grant-foster,2024.0,,,,,,,,8.75,9.25,,6' 5.75'',8' 8.00'',215.2,6' 11.75'',8.75,9.25,,77.75,104.0,83.75,tyon grant-foster
c,,pj__hall__2024,pj,,hall,2024.0,11.76,3.01,3.35,32.5,39.5,,,9.00,9.75,,6' 8.25'',8' 7.50'',239.6,7' 1.50'',9.0,9.75,,80.25,103.5,85.5,pj hall
pf,,coleman__hawkins__2024,coleman,,hawkins,2024.0,12.05,3.21,3.3,24.0,29.5,,,8.75,8.75,,6' 8.25'',8' 11.00'',215.2,7' 0.00'',8.75,8.75,,80.25,107.0,84.0,coleman hawkins
sf,ii,ron__holland_ii_2024,ron,,holland,2024.0,11.1,2.91,3.1,30.0,38.0,,,8.75,9.00,,6' 6.50'',8' 8.00'',196.8,6' 10.75'',8.75,9.0,,78.5,104.0,82.75,ron holland ii
c,ii,daron__holmes_ii_2024,daron,,holmes,2024.0,11.2,3.03,3.25,27.5,34.0,,,8.75,9.00,,6' 8.75'',9' 0.00'',236.2,7' 1.00'',8.75,9.0,,80.75,108.0,85.0,daron holmes ii
c,,ariel__hukporti__2024,ariel,,hukporti,2024.0,,,,,,,,9.25,10.25,,6' 10.75'',9' 3.00'',246.2,7' 2.50'',9.25,10.25,,82.75,111.0,86.5,ariel hukporti
c,,oso__ighodaro__2024,oso,,ighodaro,2024.0,11.25,3.12,3.09,35.0,39.5,,,9.00,10.00,,6' 9.50'',8' 8.50'',222.0,6' 11.00'',9.0,10.0,,81.5,104.5,83.0,oso ighodaro
sf,,harrison__ingram__2024,harrison,,ingram,2024.0,11.36,2.94,3.17,29.0,35.0,,,9.00,10.25,,6' 5.25'',8' 6.50'',233.6,7' 0.25'',9.0,10.25,,77.25,102.5,84.25,harrison ingram
sg,,bronny__james__2024,bronny,,james,2024.0,10.96,3.02,3.09,32.0,40.5,,,8.50,9.50,,6' 1.50'',8' 2.50'',210.4,6' 7.25'',8.5,9.5,,73.5,98.5,79.25,bronny james
sg,,aj__johnson__2024,aj,,johnson,2024.0,10.76,2.87,3.15,29.0,38.0,,,8.50,8.50,,6' 4.25'',8' 6.00'',167.0,6' 8.50'',8.5,8.5,,76.25,102.0,80.5,aj johnson
pf,,keshad__johnson__2024,keshad,,johnson,2024.0,11.38,3.02,3.03,31.5,42.0,,,9.25,10.75,,6' 6.25'',8' 7.00'',224.0,6' 10.25'',9.25,10.75,,78.25,103.0,82.25,keshad johnson
sf,,dillon__jones__2024,dillon,,jones,2024.0,11.08,2.82,3.25,26.5,33.5,,,9.00,9.25,,6' 4.50'',8' 4.50'',236.8,6' 11.00'',9.0,9.25,,76.5,100.5,83.0,dillon jones
sf,,david__jones__2024,david,,jones,2024.0,11.08,3.3,3.2,28.0,34.5,,,8.50,9.50,,6' 3.50'',8' 4.00'',211.2,6' 6.75'',8.5,9.5,,75.5,100.0,78.75,david jones
c,,isaac__jones__2024,isaac,,jones,2024.0,11.49,3.0,3.38,29.0,35.0,,,9.25,10.25,,6' 7.75'',9' 0.00'',235.0,7' 3.00'',9.25,10.25,,79.75,108.0,87.0,isaac jones
pf,,alex__karaban__2024,alex,,karaban,2024.0,11.23,,3.2,22.5,32.0,,,8.75,9.25,,6' 6.50'',8' 10.50'',219.2,6' 11.00'',8.75,9.25,,78.5,106.5,83.0,alex karaban
pf,,bobi__klintman__2024,bobi,,klintman,2024.0,11.49,3.21,3.23,26.5,32.5,,,8.75,10.00,,6' 8.75'',8' 10.50'',212.2,6' 11.00'',8.75,10.0,,80.75,106.5,83.0,bobi klintman
sf,,dalton__knecht__2024,dalton,,knecht,2024.0,10.56,2.79,3.07,31.0,39.0,,,8.50,9.50,,6' 5.25'',8' 7.50'',212.2,6' 9.00'',8.5,9.5,,77.25,103.5,81.0,dalton knecht
pg,,tyler__kolek__2024,tyler,,kolek,2024.0,10.97,3.08,3.27,27.0,34.0,,,8.25,9.50,,6' 1.25'',7' 11.00'',196.6,6' 2.75'',8.25,9.5,,73.25,95.0,74.75,tyler kolek
sg,,pelle__larsson__2024,pelle,,larsson,2024.0,11.15,2.91,3.06,30.5,38.0,,,8.75,10.25,,6' 5.25'',8' 6.00'',212.4,6' 7.50'',8.75,10.25,,77.25,102.0,79.5,pelle larsson
sg,,jared__mccain__2024,jared,,mccain,2024.0,10.87,3.07,3.23,25.5,33.0,,,8.25,9.50,,6' 2.00'',8' 2.00'',203.2,6' 3.50'',8.25,9.5,,74.0,98.0,75.5,jared mccain
sf,jr,kevin__mccullar_jr_2024,kevin,,mccullar,2024.0,,,,,,,,8.75,9.50,,6' 5.25'',8' 7.00'',205.8,6' 9.00'',8.75,9.5,,77.25,103.0,81.0,kevin mccullar jr
c,,yves__missi__2024,yves,,missi,2024.0,11.45,3.12,3.12,31.0,38.5,,,9.50,10.00,,6' 10.75'',9' 1.50'',229.4,7' 2.00'',9.5,10.0,,82.75,109.5,86.0,yves missi
pg,,ajay__mitchell__2024,ajay,,mitchell,2024.0,11.12,2.95,3.11,28.0,33.5,,,8.50,8.50,,6' 3.25'',8' 5.00'',197.0,6' 6.25'',8.5,8.5,,75.25,101.0,78.25,ajay mitchell
pf,,jonathan__mogbo__2024,jonathan,,mogbo,2024.0,11.14,3.07,3.02,31.5,37.5,,,8.75,8.75,,6' 6.25'',9' 0.50'',217.2,7' 2.00'',8.75,8.75,,78.25,108.5,86.0,jonathan mogbo
pg,,tristen__newton__2024,tristen,,newton,2024.0,10.96,2.84,3.24,25.0,32.5,,,8.50,9.00,,6' 3.25'',8' 4.00'',191.8,6' 6.75'',8.5,9.0,,75.25,100.0,78.75,tristen newton
pg,,juan__nunez__2024,juan,,nunez,2024.0,11.47,3.1,3.41,22.0,29.0,,,8.50,9.50,,6' 4'',8' 6'',205.6,6' 6.5'',8.5,9.5,,76.0,102.0,78.5,juan nunez
c,,quinten__post__2024,quinten,,post,2024.0,11.48,3.03,3.4,24.0,27.0,,,9.25,10.00,,7' 0.00'',9' 4.00'',244.4,7' 2.50'',9.25,10.0,,84.0,112.0,86.5,quinten post
sg,,antonio__reeves__2024,antonio,,reeves,2024.0,11.44,3.16,3.14,29.0,36.0,,,9.00,10.00,,6' 4.50'',8' 4.50'',186.6,6' 8.25'',9.0,10.0,,76.5,100.5,80.25,antonio reeves
sf,,zaccharie__risacher__2024,zaccharie,,risacher,2024.0,11.51,2.97,3.38,25.0,31.0,,,8.50,8.75,,6' 8.5'',8' 11'',194.6,6' 9.5'',8.5,8.75,,80.5,107.0,81.5,zaccharie risacher
sg,,jaxson__robinson__2024,jaxson,,robinson,2024.0,11.39,3.06,3.17,29.5,34.0,,,9.00,9.50,,6' 4.75'',8' 7.00'',188.6,6' 11.25'',9.0,9.5,,76.75,103.0,83.25,jaxson robinson
pf,,tidjane__salaun__2024,tidjane,,salaun,2024.0,11.45,3.05,3.37,27.5,32.0,,,8.50,9.75,,6' 8.75'',9' 2'',217.4,7' 1.5'',8.5,9.75,,80.75,110.0,85.5,tidjane salaun
sg,,hunter__sallis__2024,hunter,,sallis,2024.0,10.82,3.16,3.11,29.5,36.0,,,8.00,9.50,,6' 3.50'',8' 4.50'',179.4,6' 9.75'',8.0,9.5,,75.5,100.5,81.75,hunter sallis
sf,,payton__sandfort__2024,payton,,sandfort,2024.0,11.57,2.84,3.43,22.0,28.0,,,8.50,9.00,,6' 6.25'',8' 8.00'',212.0,6' 8.00'',8.5,9.0,,78.25,104.0,80.0,payton sandfort
c,,alexandre__sarr__2024,alexandre,,sarr,2024.0,11.43,3.23,3.27,30.5,37.0,,,9.00,10.00,,6' 11.75'',9' 2.00'',224.2,7' 4.25'',9.0,10.0,,83.75,110.0,88.25,alexandre sarr
sf,,baylor__scheierman__2024,baylor,,scheierman,2024.0,10.89,2.94,3.09,27.5,32.0,,,9.25,9.75,,6' 6.25'',8' 6.50'',201.6,6' 8.25'',9.25,9.75,,78.25,102.5,80.25,baylor scheierman
pg,,mark__sears__2024,mark,,sears,2024.0,11.96,3.26,3.33,32.0,39.0,,,8.00,8.50,,5' 10.25'',7' 8.00'',192.4,6' 2.00'',8.0,8.5,,70.25,92.0,74.0,mark sears
sf,jr,terrence__shannon_jr_2024,terrence,,shannon,2024.0,,,,,,,,8.75,8.50,,6' 5.75'',8' 4.00'',219.4,6' 8.75'',8.75,8.5,,77.75,100.0,80.75,terrence shannon jr
pg,,jamal__shead__2024,jamal,,shead,2024.0,10.87,2.87,2.94,30.0,37.5,,,8.25,8.75,,6' 0.25'',8' 0.00'',200.8,6' 3.00'',8.25,8.75,,72.25,96.0,75.0,jamal shead
pg,,reed__sheppard__2024,reed,,sheppard,2024.0,10.96,3.03,3.08,32.5,42.0,,,7.75,9.00,,6' 1.75'',7' 9.50'',181.6,6' 3.25'',7.75,9.0,,73.75,93.5,75.25,reed sheppard
pg,,kj__simpson__2024,kj,,simpson,2024.0,10.49,2.98,3.24,32.5,40.5,,,8.25,9.25,,6' 0.25'',7' 9.50'',187.0,6' 4.50'',8.25,9.25,,72.25,93.5,76.5,kj simpson
pf,,tyler__smith__2024,tyler,,smith,2024.0,10.74,2.99,3.28,32.0,38.0,,,8.50,9.00,,6' 9.00'',8' 9.00'',223.8,7' 1.00'',8.5,9.0,,81.0,105.0,85.0,tyler smith
sg,,cam__spencer__2024,cam,,spencer,2024.0,11.07,3.0,3.35,23.0,30.5,,,8.50,9.75,,6' 3.00'',8' 2.50'',201.8,6' 5.00'',8.5,9.75,,75.0,98.5,77.0,cam spencer
pf,,nae'qwan__tomlin__2024,nae'qwan,,tomlin,2024.0,11.63,3.54,3.43,27.5,32.5,,,9.00,10.00,,6' 8.25'',9' 1.00'',205.0,7' 2.50'',9.0,10.0,,80.25,109.0,86.5,nae'qwan tomlin
pg,,nikola__topic__2024,nikola,,topic,2024.0,,,,,,,,8.00,9.00,,6' 5.75'',8' 6'',203.0,6' 5.5'',8.0,9.0,,77.75,102.0,77.5,nikola topic
pf,,jt__toppin__2024,jt,,toppin,2024.0,11.12,3.01,3.27,28.5,34.0,,,9.25,9.25,,6' 7.00'',8' 10.00'',221.0,7' 0.50'',9.25,9.25,,79.0,106.0,84.5,jt toppin
sf,,jaylon__tyson__2024,jaylon,,tyson,2024.0,11.13,3.06,3.12,29.5,36.5,,,8.25,9.50,,6' 5.50'',8' 6.50'',218.2,6' 8.00'',8.25,9.5,,77.5,102.5,80.0,jaylon tyson
sg,,ja'kobe__walter__2024,ja'kobe,,walter,2024.0,11.0,2.92,3.04,30.5,38.5,,,8.75,9.75,,6' 4.25'',8' 6.50'',197.6,6' 10.00'',8.75,9.75,,76.25,102.5,82.0,ja'kobe walter
c,,kel'el__ware__2024,kel'el,,ware,2024.0,10.97,2.91,3.29,32.5,36.0,,,9.50,10.25,,6' 11.75'',9' 4.50'',230.0,7' 4.50'',9.5,10.25,,83.75,112.5,88.5,kel'el ware
sf,,jamir__watkins__2024,jamir,,watkins,2024.0,10.64,3.16,3.01,30.5,35.5,,,9.00,9.50,,6' 5.00'',8' 8.00'',211.6,6' 10.75'',9.0,9.5,,77.0,104.0,82.75,jamir watkins
sf,,jaylen__wells__2024,jaylen,,wells,2024.0,11.28,3.03,3.08,27.5,36.0,,,8.25,9.25,,6' 6.50'',8' 7.50'',206.2,6' 7.25'',8.25,9.25,,78.5,103.5,79.25,jaylen wells
sf,,cody__williams__2024,cody,,williams,2024.0,11.17,2.93,3.06,31.0,35.5,,,8.25,9.00,,6' 6.50'',8' 7.00'',178.4,7' 1.00'',8.25,9.0,,78.5,103.0,85.0,cody williams
sg,,trey__alexander__2023,trey,,alexander,2023.0,11.6,,3.35,29.5,34.0,,,8.50,8.75,,6' 3.25'',8' 5.50'',184.6,6' 10.00'',8.5,8.75,,75.25,101.5,82.0,trey alexander
sg,,amari__bailey__2023,amari,,bailey,2023.0,11.34,,3.19,28.5,35.0,,,8.00,9.25,,6' 3.25'',8' 7.50'',190.8,6' 7.00'',8.0,9.25,,75.25,103.5,79.0,amari bailey
sf,,emoni__bates__2023,emoni,,bates,2023.0,11.54,,3.49,27.0,32.5,,,8.00,8.25,,6' 8.25'',8' 9.00'',179.2,6' 9.00'',8.0,8.25,,80.25,105.0,81.0,emoni bates
pg,,reece__beekman__2023,reece,,beekman,2023.0,10.99,3.33,3.14,30.5,38.0,,,8.50,8.25,,6' 1.50'',8' 4.50'',190.6,6' 7.00'',8.5,8.25,,73.5,100.5,79.0,reece beekman
pg,,anthony__black__2023,anthony,,black,2023.0,11.04,,3.35,32.0,39.0,,,8.25,9.50,,6' 5.75'',8' 6.50'',210.0,6' 7.50'',8.25,9.5,,77.75,102.5,79.5,anthony black
c,,adem__bona__2023,adem,,bona,2023.0,,,,,,,,9.25,10.00,,6' 8.25'',9' 2.50'',243.4,,9.25,10.0,,80.25,110.5,,adem bona
pf,,kobe__brown__2023,kobe,,brown,2023.0,11.39,3.23,3.33,28.5,32.0,,,8.75,9.75,,6' 6.50'',8' 10.50'',252.2,7' 0.75'',8.75,9.75,,78.5,106.5,84.75,kobe brown
sg,,kobe__bufkin__2023,kobe,,bufkin,2023.0,11.71,,3.26,29.0,36.0,,,8.00,9.25,,6' 4.25'',8' 6.50'',186.8,6' 7.75'',8.0,9.25,,76.25,102.5,79.75,kobe bufkin
pf,,toumani__camara__2023,toumani,,camara,2023.0,10.7,3.19,3.41,28.5,33.0,,,9.00,10.00,,6' 7.00'',8' 11.00'',220.4,7' 0.50'',9.0,10.0,,79.0,107.0,84.5,toumani camara
sf,,sidy__cissoko__2023,sidy,,cissoko,2023.0,11.24,,3.31,30.5,35.5,,,9.25,10.00,,6' 5.50'',8' 8.00'',223.8,6' 9.75'',9.25,10.0,,77.5,104.0,81.75,sidy cissoko
sg,,jaylen__clark__2023,jaylen,,clark,2023.0,,,,,,,,8.50,9.00,,6' 4.00'',8' 5.50'',204.2,6' 9.00'',8.5,9.0,,76.0,101.5,81.0,jaylen clark
pf,,noah__clowney__2023,noah,,clowney,2023.0,,,,,,,,-,-,,,,,,,,,,,,noah clowney
sg-sf,,bilal__coulibaly__2023,bilal,,coulibaly,2023.0,,,,,,,,-,-,,,,,,,,,,,,bilal coulibaly
sf,iv,ricky__council_iv_2023,ricky,,council,2023.0,11.2,3.21,3.33,30.5,37.0,,,7.75,8.50,,6' 5.00'',8' 7.00'',208.0,6' 9.00'',7.75,8.5,,77.0,103.0,81.0,ricky council iv
sg,,gradey__dick__2023,gradey,,dick,2023.0,11.13,2.98,3.5,29.0,34.0,,,8.25,9.00,,6' 6.25'',8' 5.00'',204.0,6' 8.75'',8.25,9.0,,78.25,101.0,80.75,gradey dick
sf,,nikola__djurisic__2023,nikola,,djurisic,2023.0,,,,,,,,8.25,9.50,,6' 7.00'',8' 6.00'',217.6,6' 8.25'',8.25,9.5,,79.0,102.0,80.25,nikola djurisic
c,,zach__edey__2023,zach,,edey,2023.0,11.37,,3.45,26.0,29.5,,,9.75,11.00,,7' 3.25'',9' 7.50'',306.4,7' 10.50'',9.75,11.0,,87.25,115.5,94.5,zach edey
pg,,adam__flagler__2023,adam,,flagler,2023.0,10.96,,3.24,31.0,36.0,,,8.00,9.25,,6' 1.00'',8' 1.00'',191.8,6' 4.50'',8.0,9.25,,73.0,97.0,76.5,adam flagler
sg,,keyonte__george__2023,keyonte,,george,2023.0,,,,,,,,-,-,,,,,,,,,,,,keyonte george
c,,mouhamed__gueye__2023,mouhamed,,gueye,2023.0,,,,,,,,9.00,10.00,,6' 10.25'',9' 2.50'',212.6,7' 3.25'',9.0,10.0,,82.25,110.5,87.25,mouhamed gueye
sg,,jordan__hawkins__2023,jordan,,hawkins,2023.0,,,,,,,,8.25,8.75,,6' 4.25'',8' 5.50'',186.0,6' 6.75'',8.25,8.75,,76.25,101.5,78.75,jordan hawkins
pf,,coleman__hawkins__2023,coleman,,hawkins,2023.0,12.14,,3.37,26.5,32.5,,,8.75,8.75,,6' 8.50'',9' 0.50'',224.4,7' 0.25'',8.75,8.75,,80.5,108.5,84.25,coleman hawkins
pg,,scoot__henderson__2023,scoot,,henderson,2023.0,,,,,,,,-,-,,,,,,,,,,,,scoot henderson
pf,,taylor__hendricks__2023,taylor,,hendricks,2023.0,11.27,,3.32,32.5,36.0,,,9.25,10.25,,6' 8.25'',8' 11.00'',213.6,7' 0.50'',9.25,10.25,,80.25,107.0,84.5,taylor hendricks
c,ii,daron__holmes_ii_2023,daron,,holmes,2023.0,11.48,,3.2,29.5,35.0,,,8.50,9.50,,6' 9.00'',9' 1.00'',220.8,7' 0.50'',8.5,9.5,,81.0,109.0,84.5,daron holmes ii
pg,,jalen__hood-schifino__2023,jalen,,hood-schifino,2023.0,,,,,,,,9.00,9.75,,6' 4.25'',8' 4.50'',216.6,6' 10.25'',9.0,9.75,,76.25,100.5,82.25,jalen hood-schifino
sf,,jett__howard__2023,jett,,howard,2023.0,,,,,,,,-,-,,,,,,,,,,,,jett howard
pf,,gg__jackson__2023,gg,,jackson,2023.0,11.39,,3.21,31.0,37.0,,,8.50,10.00,,6' 8.25'',8' 10.00'',214.4,6' 11.50'',8.5,10.0,,80.25,106.0,83.5,gg jackson
sf,jr,andre__jackson_jr_2023,andre,,jackson,2023.0,10.83,,3.14,30.5,39.5,,,8.25,9.50,,6' 5.50'',8' 7.00'',198.4,6' 9.75'',8.25,9.5,,77.5,103.0,81.75,andre jackson jr
c,,trayce__jackson-davis__2023,trayce,,jackson-davis,2023.0,11.8,3.23,3.2,33.0,36.5,,,9.25,10.75,,6' 8.25'',8' 10.00'',240.4,7' 1.00'',9.25,10.75,,80.25,106.0,85.0,trayce jackson-davis
sf,jr,jaime__jaquez_jr_2023,jaime,,jaquez,2023.0,11.21,,3.33,34.5,39.0,,,8.50,9.50,,6' 6.00'',8' 3.50'',226.4,6' 9.50'',8.5,9.5,,78.0,99.5,81.5,jaime jaquez jr
sf,,keyontae__johnson__2023,keyontae,,johnson,2023.0,,,,,,,,9.00,9.00,,6' 4.00'',8' 7.00'',238.6,7' 0.00'',9.0,9.0,,76.0,103.0,84.0,keyontae johnson
sg,,colby__jones__2023,colby,,jones,2023.0,11.14,3.13,3.33,30.5,35.0,,,8.25,8.50,,6' 4.50'',8' 7.00'',199.2,6' 8.00'',8.25,8.5,,76.5,103.0,80.0,colby jones
c,,ryan__kalkbrenner__2023,ryan,,kalkbrenner,2023.0,12.27,,3.39,28.0,30.5,,,9.25,11.00,,7' 0.75'',9' 4.50'',251.8,7' 5.00'',9.25,11.0,,84.75,112.5,89.0,ryan kalkbrenner
pf,,arthur__kaluma__2023,arthur,,kaluma,2023.0,11.35,3.26,3.44,32.5,34.5,,,8.50,10.00,,6' 6.25'',8' 7.50'',221.8,7' 0.50'',8.5,10.0,,78.25,103.5,84.5,arthur kaluma
sg,,mojave__king__2023,mojave,,king,2023.0,11.07,,3.18,33.5,42.0,,,8.75,9.50,,6' 3.75'',8' 5.00'',200.6,6' 8.00'',8.75,9.5,,75.75,101.0,80.0,mojave king
pf,,bobi__klintman__2023,bobi,,klintman,2023.0,,,,,,,,-,-,,,,,,,,,,,,bobi klintman
sg,,maxwell__lewis__2023,maxwell,,lewis,2023.0,11.4,,3.43,32.5,36.5,,,8.75,9.50,,6' 6.25'',8' 8.50'',207.2,7' 0.00'',8.75,9.5,,78.25,104.5,84.0,maxwell lewis
c,jr,dereck__lively_jr_2023,dereck,,lively,2023.0,,,,,,,,-,-,,,,,,,,,,,,dereck lively jr
sf,,chris__livingston__2023,chris,,livingston,2023.0,11.65,,3.27,30.5,37.0,,,8.50,9.00,,6' 6.00'',8' 8.50'',219.2,6' 11.25'',8.5,9.0,,78.0,104.5,83.25,chris livingston
