position,height_w_shoes,height_wo_shoes,player_name,body_fat_pct,hand_length,hand_width,standing_reach,weight_lbs,wingspan,height_w_shoes_inches,height_wo_shoes_inches
PF,,6' 8.25'',Coleman Hawkins,,8.75,8.75,107.0,215.2,84.0,,80.25
SF,,6' 6.50'',Ron Holland II,,8.75,9.0,104.0,196.8,82.75,,78.5
C,,6' 8.75'',DaRon Holmes II,,8.75,9.0,108.0,236.2,85.0,,80.75
C,,6' 10.75'',Ariel Hukporti,,9.25,10.25,111.0,246.2,86.5,,82.75
C,,6' 9.50'',Oso Ighodaro,,9.0,10.0,104.5,222.0,83.0,,81.5
SF,,6' 5.25'',Harrison Ingram,,9.0,10.25,102.5,233.6,84.25,,77.25
SG,,6' 1.50'',Bronny James,,8.5,9.5,98.5,210.4,79.25,,73.5
SG,,6' 4.25'',AJ Johnson,,8.5,8.5,102.0,167.0,80.5,,76.25
PF,,6' 6.25'',Keshad Johnson,,9.25,10.75,103.0,224.0,82.25,,78.25
SF,,6' 4.50'',Dillon Jones,,9.0,9.25,100.5,236.8,83.0,,76.5
SF,,6' 3.50'',David Jones,,8.5,9.5,100.0,211.2,78.75,,75.5
C,,6' 7.75'',Isaac Jones,,9.25,10.25,108.0,235.0,87.0,,79.75
PF,,6' 6.50'',Alex Karaban,,8.75,9.25,106.5,219.2,83.0,,78.5
PF,,6' 8.75'',Bobi Klintman,,8.75,10.0,106.5,212.2,83.0,,80.75
SF,,6' 5.25'',Dalton Knecht,,8.5,9.5,103.5,212.2,81.0,,77.25
PG,,6' 1.25'',Tyler Kolek,,8.25,9.5,95.0,196.6,74.75,,73.25
SG,,6' 5.25'',Pelle Larsson,,8.75,10.25,102.0,212.4,79.5,,77.25
SG,,6' 2.00'',Jared McCain,,8.25,9.5,98.0,203.2,75.5,,74.0
SF,,6' 5.25'',Kevin McCullar Jr.,,8.75,9.5,103.0,205.8,81.0,,77.25
C,,6' 10.75'',Yves Missi,,9.5,10.0,109.5,229.4,86.0,,82.75
PG,,6' 3.25'',Ajay Mitchell,,8.5,8.5,101.0,197.0,78.25,,75.25
PF,,6' 6.25'',Jonathan Mogbo,,8.75,8.75,108.5,217.2,86.0,,78.25
PG,,6' 3.25'',Tristen Newton,,8.5,9.0,100.0,191.8,78.75,,75.25
PG,,6' 4'',Juan Nunez,,8.5,9.5,102.0,205.6,78.5,,76.0
C,,7' 0.00'',Quinten Post,,9.25,10.0,112.0,244.4,86.5,,84.0
SG,,6' 4.50'',Antonio Reeves,,9.0,10.0,100.5,186.6,80.25,,76.5
SF,,6' 8.5'',Zaccharie Risacher,,8.5,8.75,107.0,194.6,81.5,,80.5
SG,,6' 4.75'',Jaxson Robinson,,9.0,9.5,103.0,188.6,83.25,,76.75
PF,,6' 8.75'',Tidjane Salaun,,8.5,9.75,110.0,217.4,85.5,,80.75
SG,,6' 3.50'',Hunter Sallis,,8.0,9.5,100.5,179.4,81.75,,75.5
SF,,6' 6.25'',Payton Sandfort,,8.5,9.0,104.0,212.0,80.0,,78.25
C,,6' 11.75'',Alexandre Sarr,,9.0,10.0,110.0,224.2,88.25,,83.75
SF,,6' 6.25'',Baylor Scheierman,,9.25,9.75,102.5,201.6,80.25,,78.25
PG,,5' 10.25'',Mark Sears,,8.0,8.5,92.0,192.4,74.0,,70.25
SF,,6' 5.75'',Terrence Shannon Jr.,,8.75,8.5,100.0,219.4,80.75,,77.75
PG,,6' 0.25'',Jamal Shead,,8.25,8.75,96.0,200.8,75.0,,72.25
PG,,6' 1.75'',Reed Sheppard,,7.75,9.0,93.5,181.6,75.25,,73.75
PG,,6' 0.25'',KJ Simpson,,8.25,9.25,93.5,187.0,76.5,,72.25
PF,,6' 9.00'',Tyler Smith,,8.5,9.0,105.0,223.8,85.0,,81.0
SG,,6' 3.00'',Cam Spencer,,8.5,9.75,98.5,201.8,77.0,,75.0
PF,,6' 8.25'',Nae'Qwan Tomlin,,9.0,10.0,109.0,205.0,86.5,,80.25
PG,,6' 5.75'',Nikola Topic,,8.0,9.0,102.0,203.0,77.5,,77.75
PF,,6' 7.00'',JT Toppin,,9.25,9.25,106.0,221.0,84.5,,79.0
SF,,6' 5.50'',Jaylon Tyson,,8.25,9.5,102.5,218.2,80.0,,77.5
SG,,6' 4.25'',Ja'Kobe Walter,,8.75,9.75,102.5,197.6,82.0,,76.25
C,,6' 11.75'',Kel'el Ware,,9.5,10.25,112.5,230.0,88.5,,83.75
SF,,6' 5.00'',Jamir Watkins,,9.0,9.5,104.0,211.6,82.75,,77.0
SF,,6' 6.50'',Jaylen Wells,,8.25,9.25,103.5,206.2,79.25,,78.5
SF,,6' 6.50'',Cody Williams,,8.25,9.0,103.0,178.4,85.0,,78.5
SG,,6' 3.25'',Trey Alexander,,8.5,8.75,101.5,184.6,82.0,,75.25
SG,,6' 3.25'',Amari Bailey,,8.0,9.25,103.5,190.8,79.0,,75.25
SF,,6' 8.25'',Emoni Bates,,8.0,8.25,105.0,179.2,81.0,,80.25
PG,,6' 1.50'',Reece Beekman,,8.5,8.25,100.5,190.6,79.0,,73.5
PG,,6' 5.75'',Anthony Black,,8.25,9.5,102.5,210.0,79.5,,77.75
C,,6' 8.25'',Adem Bona,,9.25,10.0,110.5,243.4,,,80.25
PF,,6' 6.50'',Kobe Brown,,8.75,9.75,106.5,252.2,84.75,,78.5
SG,,6' 4.25'',Kobe Bufkin,,8.0,9.25,102.5,186.8,79.75,,76.25
PF,,6' 7.00'',Toumani Camara,,9.0,10.0,107.0,220.4,84.5,,79.0
SF,,6' 5.50'',Sidy Cissoko,,9.25,10.0,104.0,223.8,81.75,,77.5
SG,,6' 4.00'',Jaylen Clark,,8.5,9.0,101.5,204.2,81.0,,76.0
PF,,,Noah Clowney,,,,,,,,
SG-SF,,,Bilal Coulibaly,,,,,,,,
SF,,6' 5.00'',Ricky Council IV,,7.75,8.5,103.0,208.0,81.0,,77.0
SG,,6' 6.25'',Gradey Dick,,8.25,9.0,101.0,204.0,80.75,,78.25
SF,,6' 7.00'',Nikola Djurisic,,8.25,9.5,102.0,217.6,80.25,,79.0
C,,7' 3.25'',Zach Edey,,9.75,11.0,115.5,306.4,94.5,,87.25
PG,,6' 1.00'',Adam Flagler,,8.0,9.25,97.0,191.8,76.5,,73.0
SG,,,Keyonte George,,,,,,,,
C,,6' 10.25'',Mouhamed Gueye,,9.0,10.0,110.5,212.6,87.25,,82.25
SG,,6' 4.25'',Jordan Hawkins,,8.25,8.75,101.5,186.0,78.75,,76.25
PF,,6' 8.50'',Coleman Hawkins,,8.75,8.75,108.5,224.4,84.25,,80.5
PG,,,Scoot Henderson,,,,,,,,
PF,,6' 8.25'',Taylor Hendricks,,9.25,10.25,107.0,213.6,84.5,,80.25
C,,6' 9.00'',DaRon Holmes II,,8.5,9.5,109.0,220.8,84.5,,81.0
PG,,6' 4.25'',Jalen Hood-Schifino,,9.0,9.75,100.5,216.6,82.25,,76.25
SF,,,Jett Howard,,,,,,,,
PF,,6' 8.25'',GG Jackson,,8.5,10.0,106.0,214.4,83.5,,80.25
SF,,6' 5.50'',Andre Jackson Jr.,,8.25,9.5,103.0,198.4,81.75,,77.5
C,,6' 8.25'',Trayce Jackson-Davis,,9.25,10.75,106.0,240.4,85.0,,80.25
SF,,6' 6.00'',Jaime Jaquez Jr.,,8.5,9.5,99.5,226.4,81.5,,78.0
SF,,6' 4.00'',Keyontae Johnson,,9.0,9.0,103.0,238.6,84.0,,76.0
SG,,6' 4.50'',Colby Jones,,8.25,8.5,103.0,199.2,80.0,,76.5
C,,7' 0.75'',Ryan Kalkbrenner,,9.25,11.0,112.5,251.8,89.0,,84.75
PF,,6' 6.25'',Arthur Kaluma,,8.5,10.0,103.5,221.8,84.5,,78.25
SG,,6' 3.75'',Mojave King,,8.75,9.5,101.0,200.6,80.0,,75.75
PF,,,Bobi Klintman,,,,,,,,
SG,,6' 6.25'',Maxwell Lewis,,8.75,9.5,104.5,207.2,84.0,,78.25
C,,,Dereck Lively Jr.,,,,,,,,
SF,,6' 6.00'',Chris Livingston,,8.5,9.0,104.5,219.2,83.25,,78.0
SF,,6' 4.00'',Seth Lundy,,8.5,9.0,104.0,214.4,82.25,,76.0
SF,,,Kevin McCullar,,,,,,,,
PG,,6' 0.75'',Mike Miles Jr.,,8.0,8.25,96.0,205.0,72.5,,72.75
SF,,6' 4.50'',Jordan Miller,,8.5,9.25,103.5,191.6,83.75,,76.5
SF,,,Brandon Miller,,,,,,,,
PF,,6' 9.25'',Leonard Miller,,9.5,10.5,106.5,212.8,86.0,,81.25
PG,,6' 3.00'',Judah Mintz,,8.25,9.25,98.0,176.4,75.5,,75.0
PF,,6' 6.75'',Dillon Mitchell,,8.25,9.5,105.0,193.0,82.0,,78.75
SG,,6' 5.25'',Omari Moore,,9.0,10.25,103.5,188.6,81.75,,77.25
PF,,6' 7.75'',Kris Murray,,8.5,9.0,106.0,212.8,83.75,,79.75
PF,,6' 10.00'',Grant Nelson,,9.0,9.5,106.5,223.4,84.0,,82.0
C,,,James Nnaji,,,,,,,,
SF,,6' 6.75'',Julian Phillips,,8.5,9.0,102.0,196.6,83.5,,78.75
PG,,6' 2.00'',Jalen Pickett,,8.5,7.5,98.5,197.8,79.25,,74.0
SG,,6' 3.75'',Brandin Podziemski,,8.25,10.0,96.5,203.8,77.5,,75.75
PF,,6' 6.75'',Olivier-Maxence Prosper,,8.25,10.0,104.0,212.4,85.0,,78.75
SF,,6' 6.00'',Rayan Rupert,,8.5,9.5,106.0,193.2,86.0,,78.0
C,,6' 7.25'',Adama Sanogo,,9.75,10.0,108.5,257.8,86.75,,79.25
PG,,6' 1.25'',Marcus Sasser,,8.75,9.5,99.5,195.6,79.0,,73.25
SF,,,Brice Sensabaugh,,,,,,,,
SF,,6' 5.50'',Terrence Shannon Jr.,,8.25,8.0,102.0,220.0,80.0,,77.5
SG,,6' 5.25'',Ben Sheppard,,8.5,9.5,100.0,194.6,79.75,,77.25
PF,,6' 6.50'',Jalen Slawson,,9.0,9.0,106.0,221.6,83.75,,78.5
SG,,6' 2.50'',Terquavion Smith,,8.5,8.0,98.0,163.2,78.75,,74.5
SG,,,Nick Smith Jr.,,,,,,,,
SF,,6' 6.00'',Julian Strawther,,8.25,8.25,105.0,208.8,81.25,,78.0
SG,,6' 5.75'',Amen Thompson,,8.5,8.5,103.5,214.2,84.0,,77.75
SG,,6' 5.75'',Ausar Thompson,,8.75,9.25,104.0,218.2,84.0,,77.75
C,,6' 8.75'',Drew Timme,,9.0,10.0,108.5,243.2,85.75,,80.75
PF,,,Nae'Qwan Tomlin,,,,,,,,
C,,6' 7.25'',Oscar Tshiebwe,,9.75,10.25,108.0,253.6,87.5,,79.25
PF,,6' 8.75'',Azuolas Tubelis,,9.0,10.5,108.0,234.8,83.0,,80.75
C,,6' 11.25'',Tristan Vukcevic,,9.0,10.25,111.0,223.4,86.5,,83.25
PF,,6' 6.50'',Jarace Walker,,9.0,10.0,104.5,248.6,86.5,,78.5
PG,,6' 2.50'',Cason Wallace,,8.5,9.25,101.0,195.2,80.5,,74.5
SF,,6' 5.75'',Jordan Walsh,,8.75,8.5,107.0,204.0,85.75,,77.75
C,,,Victor Wembanyama,,,,,,,,
SG,,6' 5.75'',Dariq Whitehead,,8.5,10.0,103.5,217.2,82.25,,77.75
SF,,6' 5.75'',Cam Whitmore,,8.0,8.25,103.5,235.0,80.5,,77.75
SF,,6' 5.50'',Jalen Wilson,,8.25,9.0,99.5,230.2,80.0,,77.5
SG,,6' 2.50'',Isaiah Wong,,8.25,9.5,97.5,178.4,78.75,,74.5
SG,6' 5.75'',6' 4.50'',Ochai Agbaji,5.4,8.75,9.5,104.0,216.8,82.25,77.75,76.5
SF,6' 10.25'',6' 9.25'',Patrick Baldwin Jr.,8.9,8.75,9.5,110.5,230.8,85.75,82.25,81.25
PF,,,Paolo Banchero,,,,,,,,
PF,6' 9.75'',6' 8.75'',Dominick Barlow,5.9,9.0,10.5,108.5,221.0,87.0,81.75,80.75
SG,6' 6.50'',6' 5.25'',MarJon Beauchamp,5.3,9.0,9.0,106.0,196.6,84.75,78.5,77.25
SG,6' 5.75'',6' 4.50'',Hugo Besson,8.8,7.5,8.5,102.0,180.4,77.5,77.75,76.5
SG,6' 5.50'',6' 4.00'',Malaki Branham,6.1,8.5,9.75,102.5,194.8,82.0,77.5,76.0
SG,6' 7.00'',6' 5.50'',Christian Braun,6.2,8.0,8.5,99.5,209.2,78.5,79.0,77.5
SF,6' 7.50'',6' 6.25'',Kendall Brown,4.9,9.0,9.0,103.0,201.2,83.0,79.5,78.25
PF,7' 0.75'',6' 11.75'',John Butler Jr.,4.7,8.5,8.75,112.0,174.4,86.25,84.75,83.75
SF,6' 7.75'',6' 6.25'',Julian Champagnie,7.1,8.75,9.25,107.0,212.4,82.0,79.75,78.25
PG,6' 0.50'',5' 11.50'',Kennedy Chandler,4.4,8.5,9.5,97.0,172.2,77.25,72.5,71.5
SG,6' 5.75'',6' 4.25'',Max Christie,4.8,8.0,8.5,102.5,189.2,80.75,77.75,76.25
C,7' 0.00'',6' 11.00'',Kofi Cockburn,8.2,9.75,10.25,110.5,293.0,88.25,84.0,83.0
SG,6' 7.50'',6' 6.00'',Dyson Daniels,4.9,8.5,9.75,105.0,195.2,82.5,79.5,78.0
PG,6' 5.75'',6' 4.25'',Johnny Davis,6.7,8.5,10.25,103.5,196.4,80.5,77.75,76.25
PG,6' 2.50'',6' 0.50'',JD Davison,7.8,8.5,9.5,99.5,191.8,78.5,74.5,72.5
SF-PF,,,Darius Days,,,,,,,,
C,6' 10.25'',6' 9.25'',Moussa Diabate,2.7,8.5,10.5,109.5,216.6,86.5,82.25,81.25
SF,,,Ousmane Dieng,,,,,,,,
C,,,Khalifa Diop,,,,,,,,
C,,,Jalen Duren,,,,,,,,
PF,6' 8.00'',6' 6.75'',Tari Eason,5.9,9.25,11.0,107.5,217.4,86.0,80.0,78.75
SG,6' 4.75'',6' 3.50'',Keon Ellis,3.8,8.0,9.25,102.0,167.4,80.5,76.75,75.5
C,6' 9.25'',6' 7.75'',Michael Foster Jr.,6.2,8.75,10.0,109.5,236.6,84.25,81.25,79.75
PG,6' 2.75'',6' 1.50'',Collin Gillespie,8.6,8.25,9.0,98.0,195.8,76.0,74.75,73.5
SF,,,AJ Griffin,,,,,,,,
SG,,,Jaden Hardy,,,,,,,,
SF,6' 5.50'',6' 4.00'',Ron Harper Jr.,14.3,9.5,10.0,105.5,240.4,85.25,77.5,76.0
PF,,,Chet Holmgren,,,,,,,,
SF,6' 7.00'',6' 5.25'',Harrison Ingram,8.3,9.0,10.0,103.5,232.8,84.25,79.0,77.25
PG,,,Jaden Ivey,,,,,,,,
C,,,Trayce Jackson-Davis,,,,,,,,
SF,6' 11.00'',6' 9.50'',Nikola Jovic,7.4,8.75,9.75,108.5,222.6,84.25,83.0,81.5
SG,6' 6.50'',6' 5.25'',Johnny Juzang,7.5,8.5,9.5,102.5,208.6,83.0,78.5,77.25
PF,,,Ismael Kamagate,,,,,,,,
SG,6' 4.75'',6' 3.25'',Trevor Keels,13.5,8.25,9.0,101.0,223.8,79.25,76.75,75.25
C,7' 1.00'',7' 0.25'',Walker Kessler,14.7,8.5,8.5,113.0,256.0,88.25,85.0,84.25
C,7' 0.00'',6' 10.75'',Christian Koloko,5.7,9.0,10.75,113.0,221.0,89.25,84.0,82.75
PF,6' 8.00'',6' 6.75'',Jake LaRavia,9.0,8.5,10.25,104.0,227.2,81.5,80.0,78.75
PF,6' 7.50'',6' 6.25'',Justin Lewis,7.3,9.0,10.5,105.5,235.4,86.5,79.5,78.25
PF,6' 7.00'',6' 5.50'',E.J. Liddell,12.2,8.25,9.25,103.5,243.0,83.75,79.0,77.5
PF-C,,,Kenneth Lofton Jr.,,,,,,,,
SG-SF,,,Tyrese Martin,,,,,,,,
SG,6' 6.00'',6' 4.50'',Bennedict Mathurin,5.7,8.5,9.75,104.0,204.6,81.0,78.0,76.5
SF,6' 9.25'',6' 8.00'',Matthew Mayer,11.1,9.0,10.25,105.0,216.4,82.5,81.25,80.0
SG,6' 6.50'',6' 5.25'',Bryce McGowens,5.4,8.75,9.5,103.5,181.2,80.75,78.5,77.25
SF,6' 10.00'',6' 8.50'',Leonard Miller,5.7,9.25,10.5,106.5,211.0,86.0,82.0,80.5
PF,,,Josh Minnott,,,,,,,,
SG-SF,6' 5.00'',6' 3.50'',Aminu Mohammed,5.1,8.75,9.5,104.0,212.8,83.0,77.0,75.5
PG,6' 3.25'',6' 2.25'',Iverson Molinar,4.8,8.5,9.5,101.0,183.2,80.0,75.25,74.25
PG,6' 2.25'',6' 1.00'',Jean Montero,7.4,8.0,8.75,98.5,171.8,77.25,74.25,73.0
SG,6' 5.50'',6' 4.25'',Wendell Moore,7.5,8.75,10.25,101.0,217.2,84.5,77.5,76.25
PF,,,Keegan Murray,,,,,,,,
PG,6' 4.50'',6' 3.00'',Andrew Nembhard,4.4,8.0,9.5,99.0,195.6,77.75,76.5,75.0
PG,6' 1.50'',6' 0.00'',Scotty Pippen Jr.,5.3,7.75,9.0,95.5,180.0,77.75,73.5,72.0
SG-SF,6' 7.75'',6' 5.75'',Gabriele Procida,3.8,8.0,9.25,106.0,192.8,80.0,79.75,77.75
SG-SF,,,Jared Rhoden,,,,,,,,
C,6' 11.00'',6' 9.75'',Orlando Robinson,9.5,8.75,10.0,111.0,244.4,88.0,83.0,81.75
PF,6' 6.00'',6' 4.50'',David Roddy,11.6,8.75,10.0,105.0,260.8,83.5,78.0,76.5
SG,6' 3.25'',6' 2.00'',Ryan Rollins,5.0,8.0,8.5,100.5,179.2,81.75,75.25,74.0
PG,,,Marcus Sasser,,,,,,,,
SG,6' 5.75'',6' 4.75'',Dereon Seabron,4.0,8.5,9.5,103.5,182.4,80.75,77.75,76.75
SG,6' 5.25'',6' 4.25'',Shaedon Sharpe,4.8,9.0,9.25,103.5,198.0,83.5,77.25,76.25
SG,6' 3.75'',6' 2.25'',Terquavion Smith,3.8,8.5,8.0,98.0,165.2,78.5,75.75,74.25
PF,,,Jabari Smith,,,,,,,,
PF,,,Jeremy Sochan,,,,,,,,
PG,6' 5.50'',6' 4.00'',Matteo Spagnolo,8.6,8.25,10.0,102.0,196.2,80.0,77.5,76.0
SF,6' 7.00'',6' 5.75'',Julian Strawther,7.9,8.25,8.5,104.5,207.6,81.5,79.0,77.75
SG,6' 7.25'',6' 6.00'',Dalen Terry,5.4,8.5,9.0,106.0,195.2,84.75,79.25,78.0
C,6' 9.25'',6' 8.25'',Drew Timme,15.7,9.0,10.0,107.5,231.6,86.0,81.25,80.25
PF,6' 8.00'',6' 6.75'',Jabari Walker,12.1,8.75,9.75,105.0,213.8,82.75,80.0,78.75
SG,6' 3.75'',6' 2.25'',TyTy Washington Jr.,12.0,8.5,9.25,99.5,196.4,80.0,75.75,74.25
SF,6' 8.00'',6' 6.75'',Peyton Watson,5.2,8.5,9.5,107.5,203.4,84.5,80.0,78.75
SG,6' 4.25'',6' 3.00'',Blake Wesley,5.6,8.25,9.0,103.0,187.2,81.25,76.25,75.0
SG,6' 5.00'',6' 3.75'',Alondes Williams,7.2,8.5,9.25,102.0,209.0,79.0,77.0,75.75
SG,6' 5.75'',6' 4.50'',Jalen Williams,8.9,8.5,9.5,105.5,209.2,86.25,77.75,76.5
C,6' 10.00'',6' 8.75'',Jaylin Williams,8.0,8.5,10.5,108.5,236.6,85.0,82.0,80.75
C,6' 8.75'',6' 7.25'',Trevion Williams,10.8,9.0,10.25,108.5,264.6,86.75,80.75,79.25
PF-C,,,Bryson Williams,,,,,,,,
C,7' 2.00'',7' 0.00'',Mark Williams,5.4,9.0,9.75,117.0,242.4,90.5,86.0,84.0
SF-PF,,,Jalen Wilson,,,,,,,,
SF-PF,,,Fanbo Zeng,,,,,,,,
PG,5'11.75'',5'10.5'',Max Abmas,5.5,8.0,7.75,94.0,161.8,73.75,71.75,70.5
SG,6'5.5'',6'4.5'',Ochai Agbaji,4.15,9.0,8.75,103.5,214.4,82.0,77.5,76.5
SF,6'7.75'',6'6.0'',Marcus Bagley,7.5,8.75,8.5,102.5,216.8,83.0,79.75,78.0
SF,6'8.0'',6'7.0'',Scottie Barnes,5.3,9.25,10.25,108.0,225.4,86.75,80.0,79.0
C,6'10.25'',6'9.25'',Charles Bassey,5.9,9.0,9.5,107.5,230.2,87.0,82.25,81.25
SF,6'7.0'',6'5.75'',Brandon Boston Jr.,6.0,9.0,9.75,104.0,188.0,82.75,79.0,77.75
SG,6'4.75'',6'3.5'',James Bouknight,5.5,8.75,9.0,101.5,190.0,80.25,76.75,75.5
PF,6'8.5'',6'7.25'',Greg Brown III,5.5,9.0,9.75,107.0,206.4,84.25,80.5,79.25
PG,6'3.75'',6'2.25'',Jared Butler,5.1,8.5,8.25,98.5,193.0,76.0,75.75,74.25
SF,6'7.5'',6'6.5'',Julian Champagnie,8.0,9.0,8.5,106.5,217.4,82.0,79.5,78.5
PF,6'6.75'',6'5.75'',Justin Champagnie,6.3,8.75,8.5,104.0,206.4,81.5,78.75,77.75
SG,6'4.5'',6'3.25'',Josh Christopher,5.8,8.75,8.5,101.0,214.8,81.25,76.5,75.25
PG,,,Sharife Cooper,,,,,,,,
PG,,,Cade Cunningham,,,,,,,,
SG,6'5.0'',6'3.5'',Ayo Dosunmu,4.9,8.5,8.75,102.0,194.4,82.25,77.0,75.5
SG,6'5.5'',6'4.25'',David Duke Jr.,5.9,8.5,9.0,102.5,203.6,80.75,77.5,76.25
PF,6'8.0'',6'7.0'',Kessler Edwards,4.3,8.5,8.25,106.0,203.0,83.25,80.0,79.0
C,6'11.25'',6'10.0'',Luka Garza,11.7,9.0,9.25,107.5,242.8,85.5,83.25,82.0
PF,6'7.75'',6'6.5'',RaiQuan Gray,17.3,9.25,9.0,105.0,268.6,82.75,79.75,78.5
SG,,,Jalen Green,,,,,,,,
SG,6'5.25'',6'4.0'',Quentin Grimes,6.6,8.5,10.0,101.0,205.0,80.0,77.25,76.0
SF,6'8.0'',6'6.75'',Sam Hauser,7.9,8.25,9.0,102.0,217.4,81.25,80.0,78.75
SF,6'6.0'',6'4.5'',Aaron Henry,5.6,8.5,9.25,103.5,209.6,82.75,78.0,76.5
C,7'0.0'',6'10.75'',Ariel Hukporti,8.1,9.5,9.5,111.5,246.0,86.5,84.0,82.75
PF,6'9.5'',6'8.5'',Matt Hurt,15.2,9.0,9.0,106.5,232.4,81.5,81.5,80.5
SG,6'3.5'',6'2.0'',Nah'Shon Hyland,5.8,8.75,9.0,101.5,169.0,81.25,75.5,74.0
C,,,Isaiah Jackson,,,,,,,,
SG,6'4.75'',6'3.25'',David Johnson,7.5,8.25,8.5,104.0,202.8,82.5,76.75,75.25
PF,6'9.25'',6'7.75'',Jalen Johnson,4.5,9.75,10.5,106.0,209.6,84.25,81.25,79.75
SG,6'4.75'',6'3.5'',Keon Johnson,4.4,8.5,9.0,97.0,184.8,79.25,76.75,75.5
PG,6'1.0'',6'0.0'',Carlik Jones,4.5,8.25,9.0,97.5,173.6,77.0,73.0,72.0
PF,6'11.5'',6'10.0'',Kai Jones,4.7,9.0,9.5,110.5,221.4,85.75,83.5,82.0
SF,6'7.25'',6'6.0'',Herbert Jones,5.8,8.5,9.0,106.0,206.4,84.25,79.25,78.0
SG,6'7.0'',6'5.5'',Johnny Juzang,8.0,8.5,9.5,100.5,209.0,82.5,79.0,77.5
SF,6'7.25'',6'6.0'',Corey Kispert,6.8,8.75,10.0,102.0,223.8,79.0,79.25,78.0
SF,,,Jonathan Kuminga,,,,,,,,
SG-SF,6'6.75'',6'5.5'',AJ Lawson,4.4,8.5,9.25,99.5,179.2,78.75,78.75,77.5
SF,6'5.25'',6'4.0'',Scottie Lewis,4.7,8.75,9.75,101.5,187.6,84.0,77.25,76.0
SF,6'7.25'',6'5.75'',Isaiah Livers,9.4,9.0,9.5,104.5,231.8,81.25,79.25,77.75
C,6'11.25'',6'10.25'',Makur Maker,14.5,8.75,9.5,112.0,232.2,85.75,83.25,82.25
C,6'10.0'',6'9.0'',Sandro Mamukelashvili,7.8,9.0,9.5,106.5,239.8,85.25,82.0,81.0
PG,6'4.25'',6'3.25'',Tre Mann,4.1,8.0,9.0,98.5,177.6,76.0,76.25,75.25
PF,,,Matthew Mayer,,,,,,,,
PG,6'2.5'',6'1.0'',Miles McBride,6.0,9.0,9.5,99.5,195.2,80.75,74.5,73.0
